บัญชีรายการวัสดุสิ้นเปลืองประจำปีงบประมาณ พ.ศ. 2567,,,
แนบท้ายประกาศมหาวิทยาลัยราชภัฏเลย ฉบับลงวันที่ 6 มิถุนายน 2567,,,
,,,
ลำดับ,รายการวัสดุ,หน่วยนับ, ราคากลาง 
155,ปากกาลบคำผิด ขนาด 5 ml.,ด้าม, 50.00 
156,ปากกาลบคำผิด ขนาด 7 ml.,ด้าม, 65.00 
157,ปากกาลบคำผิด ขนาด 12 ml.,ด้าม, 85.00 
ป้าย,,,
158,ป้ายชื่อพลาสติก PVC,อัน, 110.00 
159,ป้ายชื่อคล้องคอ,อัน, 25.00 
160,ป้ายอะคริลิค ตั้งโต๊ะ 2 หน้า ขนาด 7 นิ้ว,อัน, 180.00 
161,ป้ายอะคริลิค ตั้งโต๊ะ 2 หน้า ขนาด 12 นิ้ว,อัน, 250.00 
162,ป้ายอะคริลิค ตั้งโต๊ะ 2 หน้า ขนาด 15 นิ้ว,อัน, 135.00 
แผ่นรอง,,,
163,แผ่นรองตัด ขนาด 20 * 30 ซม.,อัน, 150.00 
164,แผ่นรองตัด ขนาด 30 * 45 ซม.,อัน, 250.00 
165,แผ่นรองตัด ขนาด A2 (45 * 60 cm.),แผ่น, 550.00 
166,แผ่นรองตัด ขนาด A3 (30 * 45 cm.),แผ่น, 450.00 
167,แผ่นรองตัด ขนาด A4 (22 * 30 cm.),แผ่น, 350.00 
168,แผ่นรองเม้าส์,อัน, 45.00 
แฟ้ม,,,
169,แฟ้มซอง 1 กระดุม ขนาด A4,ซอง, 25.00 
170,แฟ้มซอง 2 กระดุม ขนาด A4,ซอง, 30.00 
171,แฟ้มเซือกผูก พลาสติก ขนาด A4,ซอง, 20.00 
172,แฟ้มเซือกผูก พลาสติก ขนาด F4,ซอง, 25.00 
173,แฟ้มเสนอเซ็นงาน,แฟ้ม, 200.00 
174,แฟ้มหนีบดำ ขนาด 1 นิ้ว,แฟ้ม, 75.00 
175,แฟ้มห่วง ขนาด 1 นิ้ว,แฟ้ม, 75.00 
176,แฟ้มห่วง ขนาด 2 นิ้ว,แฟ้ม, 75.00 
177,แฟ้มห่วง ขนาด 3 นิ้ว,แฟ้ม, 75.00 
178,แฟ้มโชว์เอกสาร ขนาด 1 นิ้ว A4,แฟ้ม, 120.00 
179,แฟ้มโชว์เอกสาร ขนาด 1.5 นิ้ว A4,แฟ้ม, 60.00 
180,แฟ้มคลิปบอร์ดพลาสติก ขนาด A5 (แบบไม่มีปก),อัน, 28.00 
181,แฟ้มคลิปบอร์ดพลาสติก ขนาด A4 (แบบไม่มีปก),อัน, 40.00 
182,แฟ้มคลิปบอร์ดพลาสติก ขนาด F4 (แบบไม่มีปก),อัน, 45.00 
183,แฟ้มคลิปบอร์ดพลาสติก ขนาด A5 (แบบมีปก),อัน, 70.00 
184,แฟ้มคลิปบอร์ดพลาสติก ขนาด A4 (แบบมีปก),อัน, 75.00 
185,แฟ้มคลิปบอร์ดพลาสติก ขนาด F4 (แบบมีปก),อัน, 105.00 
ไม้บรรทัด,,,
186,ไม้บรรทัด พลาสติก ขนาด 12 นิ้ว แบบใส,อัน, 5.00 
187,ไม้บรรทัด พลาสติก ขนาด 24 นิ้ว แบบใส,อัน, 20.00 
188,ไม้บรรทัด อลูมิเนียม ขนาด 6 นิ้ว,อัน, 15.00 
189,ไม้บรรทัด อลูมิเนียม ขนาด 12 นิ้ว,อัน, 25.00 
190,ไม้บรรทัด เหล็ก ขนาด 6 นิ้ว,อัน, 15.00 
191,ไม้บรรทัด เหล็ก ขนาด 12 นิ้ว,อัน, 30.00 
192,ไม้บรรทัด เหล็ก ขนาด 24 นิ้ว,อัน, 100.00 
ยางลบ,,,
193,ยางลบดินสอ แบบก้อนสีดำ,ก้อน, 6.00 
194,ยางลบดินสอ แบบก้อนสีขาว,ก้อน, 5.00 
ลวดเย็บกระดาษ,,,
195,ลวดเย็บกระดาษ เบอร์ M3 - 1M (1/24),กล่อง, 450.00 
196,ลวดเย็บกระดาษ เบอร์ M8 - 1M (1/12),กล่อง, 240.00 
197,ลวดเย็บกระดาษ เบอร์ M10 - 1M (1/24),กล่อง, 288.00 
198,ลวดเสียบกระดาษ เบอร์ 1,กล่อง, 12.00 
199,ลวดเสียบกระดาษ เบอร์ 5,กล่อง, 15.00 
ฉากกั้นหนังสือ,,,
200,ฉากกั้นหนังสือ ขนาดกลาง,อัน, 95.00 
201,ฉากกั้นหนังสือ ขนาดใหญ่,อัน, 200.00 
202,ใส้แฟ้ม ขนาด A4 (20ใส้),ห่อ, 40.00 
สมุด,,,
203,สมุดบัญชี เบอร์ 2 (ปกเคลือบ PVC) สีน้ำเงิน,เล่ม, 50.00 
204,สมุดทะเบียนหนังสือ รับ - ส่ง (ปกเคลือบ) สีน้ำเงิน,เล่ม, 75.00 
205,สมุดเบอร์ 4 /100 มุมมัน,เล่ม, 180.00 
206,สมุดเบอร์ 5 /100 มุมมัน,เล่ม, 150.00 
207,สมุดลงนามถวายพระพร,เล่ม, 400.00 
208,"หมึกเติมแท่นประทับตรา สีดำ , สีแดง , สีน้ำเงิน",ขวด, 15.00 
หมึก,,,
209,หมึก HP 12A (แท้),กล่อง," 3,690.00 "
210,หมึก HP 17A (แท้),กล่อง," 2,900.00 "
211,หมึก HP 19A (แท้),กล่อง," 3,280.00 "
212,หมึก HP 30A (แท้),กล่อง," 3,000.00 "
213,หมึก HP 35A (แท้),กล่อง," 3,290.00 "
214,หมึก HP 36A (แท้),กล่อง," 3,753.00 "
215,หมึก HP 48A (แท้),กล่อง," 2,290.00 "
216,หมึก HP 80A (แท้),กล่อง," 4,690.00 "
217,หมึก HP 83A (แท้),กล่อง," 3,020.00 "
218,หมึก HP 85A (แท้),กล่อง," 3,230.00 "
219,หมึก HP 79A (แท้),กล่อง," 2,600.00 "
220,หมึก HP 93A (แท้),กล่อง," 7,615.19 "
221,หมึก HP 107A (แท้),กล่อง," 1,990.00 "
222,หมึก HP 126A สีดำ (ฺBK) (แท้),กล่อง," 3,820.00 "
223,หมึก HP 126A สีฟ้า (C) (แท้),กล่อง," 2,690.00 "
224,หมึก HP 126A สีชมพู่ (ฺM) (แท้),กล่อง," 2,690.00 "
225,หมึก HP 126A สีเหลือง (ฺY) (แท้),กล่อง," 2,690.00 "
226,หมึก HP 130A สีดำ (ฺBK) (แท้),กล่อง," 2,660.00 "
227,หมึก HP 130A สีฟ้า (C) (แท้),กล่อง," 2,750.00 "
228,หมึก HP 130A สีชมพู่ (ฺM) (แท้),กล่อง," 2,750.00 "
229,หมึก HP 130A สีเหลือง (ฺY) (แท้),กล่อง," 2,750.00 "
230,หมึก HP 131A สีดำ (ฺBK) (แท้),กล่อง," 3,290.00 "
231,หมึก HP 131A สีฟ้า (C) (แท้),กล่อง," 4,000.00 "
232,หมึก HP 131A สีชมพู่ (ฺM) (แท้),กล่อง," 4,000.00 "
